time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-20 00:00:00+00:00,7,3,0,0
2026-03-21 00:00:00+00:00,18,8,0,0
2026-03-22 00:00:00+00:00,8,4,0,0
2026-03-23 00:00:00+00:00,11,6,14,3
2026-03-24 00:00:00+00:00,5,5,8,2
2026-03-25 00:00:00+00:00,10,5,2,2
2026-03-26 00:00:00+00:00,22,9,9,1
2026-03-27 00:00:00+00:00,10,6,10,1
2026-03-28 00:00:00+00:00,12,11,5,4
2026-03-29 00:00:00+00:00,23,14,6,2
2026-03-30 00:00:00+00:00,59,24,15,3
2026-03-31 00:00:00+00:00,23,13,1,1
2026-04-01 00:00:00+00:00,17,8,1,1
2026-04-02 00:00:00+00:00,11,6,0,0
2026-04-03 00:00:00+00:00,14,10,10,3
2026-04-04 00:00:00+00:00,14,9,4,1
2026-04-05 00:00:00+00:00,12,6,10,2
2026-04-06 00:00:00+00:00,25,18,61,4
2026-04-07 00:00:00+00:00,12,8,1,1
2026-04-08 00:00:00+00:00,28,13,4,1
2026-04-09 00:00:00+00:00,13,7,6,2
2026-04-10 00:00:00+00:00,19,7,9,4
2026-04-11 00:00:00+00:00,37,13,14,2
2026-04-12 00:00:00+00:00,32,11,0,0
2026-04-13 00:00:00+00:00,117,59,21,2
2026-04-14 00:00:00+00:00,41,10,1,1
2026-04-15 00:00:00+00:00,95,28,63,5
2026-04-16 00:00:00+00:00,21,9,5,3
2026-04-17 00:00:00+00:00,38,12,3,3
2026-04-18 00:00:00+00:00,16,9,0,0
2026-04-19 00:00:00+00:00,29,15,0,0
2026-04-20 00:00:00+00:00,81,39,52,5
2026-04-21 00:00:00+00:00,161,42,3,1
2026-04-22 00:00:00+00:00,93,34,9,2
2026-04-23 00:00:00+00:00,106,31,0,0
2026-04-24 00:00:00+00:00,92,35,1,1
2026-04-25 00:00:00+00:00,93,42,0,0
2026-04-26 00:00:00+00:00,43,13,3,1
2026-04-27 00:00:00+00:00,51,15,21,2
2026-04-28 00:00:00+00:00,17,8,0,0
2026-04-29 00:00:00+00:00,63,22,4,2
2026-04-30 00:00:00+00:00,84,22,0,0
2026-05-01 00:00:00+00:00,41,15,0,0
2026-05-02 00:00:00+00:00,45,15,0,0
2026-05-03 00:00:00+00:00,42,15,2,1
2026-05-04 00:00:00+00:00,23,8,2,1
2026-05-05 00:00:00+00:00,53,13,0,0
2026-05-06 00:00:00+00:00,16,7,0,0
2026-05-07 00:00:00+00:00,18,7,0,0
2026-05-08 00:00:00+00:00,17,10,0,0
2026-05-09 00:00:00+00:00,27,17,0,0
2026-05-10 00:00:00+00:00,14,8,8,1
2026-05-11 00:00:00+00:00,14,7,1,1
2026-05-12 00:00:00+00:00,13,8,0,0
2026-05-13 00:00:00+00:00,21,6,1,1
2026-05-14 00:00:00+00:00,15,6,0,0
2026-05-15 00:00:00+00:00,4,4,0,0
2026-05-16 00:00:00+00:00,22,8,2,1
2026-05-17 00:00:00+00:00,19,10,1,1
2026-05-18 00:00:00+00:00,23,8,10,2
2026-05-19 00:00:00+00:00,10,5,2,1
2026-05-20 00:00:00+00:00,10,4,6,1
2026-05-21 00:00:00+00:00,13,4,0,0
2026-05-22 00:00:00+00:00,12,7,2,1
2026-05-23 00:00:00+00:00,5,5,0,0
2026-05-24 00:00:00+00:00,14,3,1,1
2026-05-25 00:00:00+00:00,26,8,9,2
2026-05-26 00:00:00+00:00,29,17,6,2
2026-05-27 00:00:00+00:00,40,13,1,1
2026-05-28 00:00:00+00:00,16,6,0,0
2026-05-29 00:00:00+00:00,18,8,0,0
2026-05-30 00:00:00+00:00,16,6,1,1
2026-05-31 00:00:00+00:00,47,21,14,2
2026-06-01 00:00:00+00:00,22,9,0,0
2026-06-02 00:00:00+00:00,30,15,1,1
2026-06-03 00:00:00+00:00,21,9,0,0
2026-06-04 00:00:00+00:00,29,13,6,1
2026-06-05 00:00:00+00:00,21,7,1,1
2026-06-06 00:00:00+00:00,11,4,0,0
2026-06-07 00:00:00+00:00,20,6,3,1
2026-06-08 00:00:00+00:00,11,6,1,1
2026-06-09 00:00:00+00:00,3,2,0,0
2026-06-10 00:00:00+00:00,11,7,0,0
2026-06-11 00:00:00+00:00,19,5,0,0
2026-06-12 00:00:00+00:00,46,19,0,0
2026-06-13 00:00:00+00:00,23,8,0,0
2026-06-14 00:00:00+00:00,30,10,0,0
2026-06-15 00:00:00+00:00,15,5,4,1
2026-06-16 00:00:00+00:00,51,17,9,2
2026-06-17 00:00:00+00:00,34,9,0,0
2026-06-18 00:00:00+00:00,23,8,0,0
2026-06-19 00:00:00+00:00,19,6,0,0
2026-06-20 00:00:00+00:00,32,10,2,1
2026-06-21 00:00:00+00:00,47,10,3,2
2026-06-22 00:00:00+00:00,71,22,0,0
2026-06-23 00:00:00+00:00,158,25,0,0
2026-06-24 00:00:00+00:00,61,15,4,2
2026-06-25 00:00:00+00:00,69,23,5,2
2026-06-26 00:00:00+00:00,19,7,1,1
2026-06-27 00:00:00+00:00,28,12,10,2
2026-06-28 00:00:00+00:00,24,11,2,1
2026-06-29 00:00:00+00:00,30,12,3,1
2026-06-30 00:00:00+00:00,2,2,0,0
2026-07-01 00:00:00+00:00,4,4,0,0
2026-07-02 00:00:00+00:00,27,9,0,0
2026-07-03 00:00:00+00:00,17,6,8,1
2026-07-04 00:00:00+00:00,17,8,0,0
2026-07-05 00:00:00+00:00,15,6,5,3
2026-07-06 00:00:00+00:00,58,25,1,1
2026-07-07 00:00:00+00:00,41,13,1,1
2026-07-08 00:00:00+00:00,13,6,0,0
2026-07-09 00:00:00+00:00,13,5,1,1
2026-07-10 00:00:00+00:00,21,8,6,3
2026-07-11 00:00:00+00:00,14,8,0,0
2026-07-12 00:00:00+00:00,19,5,2,2
2026-07-13 00:00:00+00:00,20,7,14,2
2026-07-14 00:00:00+00:00,8,4,0,0
2026-07-15 00:00:00+00:00,12,3,0,0
2026-07-16 00:00:00+00:00,26,7,1,1
2026-07-17 00:00:00+00:00,16,8,1,1
2026-07-18 00:00:00+00:00,7,2,1,1
2026-07-19 00:00:00+00:00,15,6,0,0
2026-07-20 00:00:00+00:00,1,1,5,2
2026-07-21 00:00:00+00:00,99,12,0,0
2026-07-22 00:00:00+00:00,19,6,0,0
2026-07-23 00:00:00+00:00,18,9,0,0
2026-07-24 00:00:00+00:00,2,2,0,0
2026-07-25 00:00:00+00:00,8,3,2,2
2026-07-26 00:00:00+00:00,17,8,1,1
2026-07-27 00:00:00+00:00,28,9,0,0
2026-07-28 00:00:00+00:00,3,3,5,2
2026-07-29 00:00:00+00:00,26,10,0,0
2026-07-30 00:00:00+00:00,15,5,1,1
2026-07-31 00:00:00+00:00,3,2,1,1
2026-08-01 00:00:00+00:00,8,3,0,0
2026-08-02 00:00:00+00:00,22,8,17,1
2026-08-03 00:00:00+00:00,11,7,2,2
2026-08-04 00:00:00+00:00,24,10,4,4
2026-08-05 00:00:00+00:00,24,10,0,0
2026-08-06 00:00:00+00:00,18,5,0,0
2026-08-07 00:00:00+00:00,5,5,0,0
2026-08-08 00:00:00+00:00,12,3,1,1
2026-08-09 00:00:00+00:00,8,3,4,1
2026-08-10 00:00:00+00:00,4,4,0,0
2026-08-11 00:00:00+00:00,1,1,0,0
2026-08-12 00:00:00+00:00,8,3,0,0
2026-08-13 00:00:00+00:00,25,8,1,1
2026-08-14 00:00:00+00:00,18,14,3,1
2026-08-15 00:00:00+00:00,39,6,0,0
2026-08-16 00:00:00+00:00,1,1,1,1
2026-08-17 00:00:00+00:00,2,2,0,0
2026-08-18 00:00:00+00:00,1,1,0,0
